algorithm,word,n_guesses
PositionalExplorerAmongstPossible,ANKHS,5
PositionalExplorerAmongstPossible,ANKLE,4
PositionalExplorerAmongstPossible,ANNAM,4
PositionalExplorerAmongstPossible,ANNEX,4
PositionalExplorerAmongstPossible,ANNIE,4
PositionalExplorerAmongstPossible,ANNOY,4
PositionalExplorerAmongstPossible,ANNUL,5
PositionalExplorerAmongstPossible,ANODE,4
PositionalExplorerAmongstPossible,ANONS,4
PositionalExplorerAmongstPossible,ANTED,3
PositionalExplorerAmongstPossible,ANTES,3
PositionalExplorerAmongstPossible,ANTIC,4
PositionalExplorerAmongstPossible,ANTIS,4
PositionalExplorerAmongstPossible,ANTON,4
PositionalExplorerAmongstPossible,ANVIL,5
PositionalExplorerAmongstPossible,ANZAC,4
PositionalExplorerAmongstPossible,AORTA,3
PositionalExplorerAmongstPossible,APACE,3
PositionalExplorerAmongstPossible,AARON,5
PositionalExplorerAmongstPossible,ABACI,4
PositionalExplorerAmongstPossible,ABACK,5
PositionalExplorerAmongstPossible,ABAFT,4
PositionalExplorerAmongstPossible,ABASE,3
PositionalExplorerAmongstPossible,ABASH,5
PositionalExplorerAmongstPossible,ABATE,4
PositionalExplorerAmongstPossible,ABBAS,5
PositionalExplorerAmongstPossible,ABBEY,3
PositionalExplorerAmongstPossible,ABBOT,4
PositionalExplorerAmongstPossible,ABDUL,4
PositionalExplorerAmongstPossible,ABEAM,4
PositionalExplorerAmongstPossible,ABETS,3
PositionalExplorerAmongstPossible,ABHOR,3
PositionalExplorerAmongstPossible,ABIDE,4
PositionalExplorerAmongstPossible,ABLER,3
PositionalExplorerAmongstPossible,ABNER,5
PositionalExplorerAmongstPossible,ABODE,3
PositionalExplorerAmongstPossible,ABORT,4
PositionalExplorerAmongstPossible,ABOUT,3
PositionalExplorerAmongstPossible,ABOVE,4
PositionalExplorerAmongstPossible,ABRAM,4
PositionalExplorerAmongstPossible,ABUJA,4
PositionalExplorerAmongstPossible,ABUSE,3
PositionalExplorerAmongstPossible,ABUTS,3
PositionalExplorerAmongstPossible,ABUZZ,5
PositionalExplorerAmongstPossible,ABYSS,6
PositionalExplorerAmongstPossible,ACCRA,5
PositionalExplorerAmongstPossible,ACHED,3
PositionalExplorerAmongstPossible,ACHES,2
PositionalExplorerAmongstPossible,ACHOO,4
PositionalExplorerAmongstPossible,ACIDS,3
PositionalExplorerAmongstPossible,ACING,4
PositionalExplorerAmongstPossible,ACMES,3
PositionalExplorerAmongstPossible,ACORN,4
PositionalExplorerAmongstPossible,ACRES,2
PositionalExplorerAmongstPossible,ACRID,2
PositionalExplorerAmongstPossible,ACRUX,3
PositionalExplorerAmongstPossible,ACTED,2
PositionalExplorerAmongstPossible,ACTON,3
PositionalExplorerAmongstPossible,ACTOR,3
PositionalExplorerAmongstPossible,ACUFF,4
PositionalExplorerAmongstPossible,ACUTE,3
PositionalExplorerAmongstPossible,ADAGE,4
PositionalExplorerAmongstPossible,ADAMS,5
PositionalExplorerAmongstPossible,ADANA,4
PositionalExplorerAmongstPossible,ADAPT,4
PositionalExplorerAmongstPossible,ADDED,4
PositionalExplorerAmongstPossible,ADDER,3
PositionalExplorerAmongstPossible,ADDIE,4
PositionalExplorerAmongstPossible,ADDLE,3
PositionalExplorerAmongstPossible,ADELA,4
PositionalExplorerAmongstPossible,ADELE,4
PositionalExplorerAmongstPossible,ADEPT,3
PositionalExplorerAmongstPossible,ADIEU,4
PositionalExplorerAmongstPossible,ADLER,3
PositionalExplorerAmongstPossible,ADMAN,4
PositionalExplorerAmongstPossible,ADMEN,3
PositionalExplorerAmongstPossible,ADMIT,4
PositionalExplorerAmongstPossible,ADOBE,4
PositionalExplorerAmongstPossible,ADOLF,4
PositionalExplorerAmongstPossible,ADOPT,4
PositionalExplorerAmongstPossible,ADORE,3
PositionalExplorerAmongstPossible,ADORN,4
PositionalExplorerAmongstPossible,ADULT,4
PositionalExplorerAmongstPossible,ADVIL,5
PositionalExplorerAmongstPossible,ADZES,3
PositionalExplorerAmongstPossible,AEGIS,4
PositionalExplorerAmongstPossible,AEONS,4
PositionalExplorerAmongstPossible,AERIE,3
PositionalExplorerAmongstPossible,AESOP,4
PositionalExplorerAmongstPossible,AFFIX,4
PositionalExplorerAmongstPossible,AFIRE,4
PositionalExplorerAmongstPossible,AFOOT,5
PositionalExplorerAmongstPossible,AFOUL,4
PositionalExplorerAmongstPossible,AFROS,3
PositionalExplorerAmongstPossible,AFTER,3
PositionalExplorerAmongstPossible,AGAIN,3
PositionalExplorerAmongstPossible,AGAPE,3
PositionalExplorerAmongstPossible,AGATE,4
PositionalExplorerAmongstPossible,AGAVE,3
PositionalExplorerAmongstPossible,AGENT,4
PositionalExplorerAmongstPossible,AGGIE,4
PositionalExplorerAmongstPossible,AGILE,4
PositionalExplorerAmongstPossible,AGING,6
PositionalExplorerAmongstPossible,AGISM,3
PositionalExplorerAmongstPossible,AGLOW,3
PositionalExplorerAmongstPossible,AGNES,3
PositionalExplorerAmongstPossible,AGNEW,3
PositionalExplorerAmongstPossible,AGONY,3
PositionalExplorerAmongstPossible,AGREE,3
PositionalExplorerAmongstPossible,AHEAD,4
PositionalExplorerAmongstPossible,AHMAD,4
PositionalExplorerAmongstPossible,AHMED,3
PositionalExplorerAmongstPossible,AIDED,3
PositionalExplorerAmongstPossible,AIDES,3
PositionalExplorerAmongstPossible,AIKEN,3
PositionalExplorerAmongstPossible,AILED,3
PositionalExplorerAmongstPossible,AIMED,4
PositionalExplorerAmongstPossible,AIMEE,4
PositionalExplorerAmongstPossible,AIRED,2
PositionalExplorerAmongstPossible,AIRES,2
PositionalExplorerAmongstPossible,AISHA,4
PositionalExplorerAmongstPossible,AISLE,4
PositionalExplorerAmongstPossible,AKBAR,4
PositionalExplorerAmongstPossible,AKITA,5
PositionalExplorerAmongstPossible,AKIVA,4
PositionalExplorerAmongstPossible,AKKAD,4
PositionalExplorerAmongstPossible,AKRON,3
PositionalExplorerAmongstPossible,ALAMO,5
PositionalExplorerAmongstPossible,ALANA,5
PositionalExplorerAmongstPossible,ALARM,5
PositionalExplorerAmongstPossible,ALBEE,3
PositionalExplorerAmongstPossible,ALBUM,4
PositionalExplorerAmongstPossible,ALCOA,3
PositionalExplorerAmongstPossible,ALDAN,4
PositionalExplorerAmongstPossible,ALDEN,2
PositionalExplorerAmongstPossible,ALDER,2
PositionalExplorerAmongstPossible,ALERT,3
PositionalExplorerAmongstPossible,ALEUT,4
PositionalExplorerAmongstPossible,ALGAE,4
PositionalExplorerAmongstPossible,ALGER,3
PositionalExplorerAmongstPossible,ALGOL,3
